項目（令和３年（2021年）２月１日現在）,総面積（令和2年10月1日）［k㎡］,可住地面積（平成30年10月1日）［k㎡］,土地利用の状況（農地）（平成31年1月1日）［％］,土地利用の状況（宅地）（平成31年1月1日）［％］,土地利用の状況（山林）（平成31年1月1日）［％］,土地利用の状況（その他）（平成31年1月1日）［％］,人口（令和3年1月1日）［人］,人口（男）（令和3年1月1日）［人］,人口（女）（令和3年1月1日）［人］,人口密度（令和3年1月1日）［人／k㎡］,世帯数（令和3年1月1日）［世帯］,世帯人員（１世帯当たり人員）（令和3年1月1日）［人］,15歳未満人口（令和3年1月1日）［人］,15～64歳人口（令和3年1月1日）［人］,65歳以上人口（令和3年1月1日）［人］,15歳未満人口割合（令和3年1月1日）［％］,15～64歳人口割合（令和3年1月1日）［％］,65歳以上人口割合（令和3年1月1日）［％］,出生数（令和1年）［人］,死亡数（令和1年）［人］,"出生率（人口千対）（令和1年）［‰］
(人口千対)",死亡率（人口千対）（令和1年）［‰］,販売農家数（平成27年2月1日）［戸］,製造業事業所数（令和1年6月1日）［事業所］,製造業従業者数（令和1年6月1日）［人］,製造品出荷額等（平成30年）［百万円］,商業事業所数（平成28年6月1日）［事業所］,商業従業者数（平成28年6月1日）［人］,年間商品販売額（平成27年）［百万円］,"事業所数（民営事業所）（令和1年）［事業所］
",従業者数（民営事業所）（平成28年6月1日）［人］,産業別就業人口（第１次産業）（平成27年10月1日）［人］,産業別就業人口（第２次産業）（平成27年10月1日）［人］,産業別就業人口（第３次産業）（平成27年10月1日）［人］,産業別就業人口割合（第１次産業）（平成27年10月1日）［％］,産業別就業人口割合（第２次産業）（平成27年10月1日）［％］,産業別就業人口割合（第３次産業）（平成27年10月1日）［％］,市町村内総生産（名目）（平成30年度）［百万円］,市町村民所得（平成30年度）［百万円］,市町村民所得（１人当たり）（平成30年度）［千円］,水道普及率（平成30年度末）［％］,汚水処理人口普及率（令和1年度末）［％］,下水道普及率（令和1年度末）［％］,市町村道舗装率（平成30年4月1日）［％］,自動車保有台数（平成30年度末）［台］,歳入決算額（令和1年度）［千円］,歳出決算額（令和1年度）［千円］,財政力指数（令和1年度）［－］,歳出（義務的経費）（平成30年度）［％］,歳出（投資的経費）（平成30年度）［％］,市町村民税（平成30年度）［千円］,固定資産税（平成30年度）［千円］,市町村議会の議員数（現に在職する議員数）（令和2年5月1日）［人］,市町村の職員数（一般職員数）（平成31年4月1日）［人］,一般病院数（平成30年10月1日）［施設］,医療施設従事医師数（平成30年）［人］,医療施設従事医師数（10万人当たり）（平成30年）［人］,生活保護被保護世帯数（令和2年11月30日）［世帯］,保育所等数（０～５歳１万人当たり）（幼保連携型認定こども園、保育所型認定こども園及び保育所）（平成30年10月1日）［所］,幼稚園数（令和2年5月1日）［園］,幼稚園在園者数（令和2年5月1日）［人］,幼保連携型認定こども園数（令和2年5月1日）［園］,幼保連携型認定こども園在園者数（令和2年5月1日）［人］,小学校数（令和2年5月1日）［校］,小学校児童数（令和2年5月1日）［人］,中学校数（令和2年5月1日）［校］,中学校生徒数（令和2年5月1日）［人］,交通事故発生件数（令和2年）［件］
桜川市,180.06,106.1,30.4,8.9,34.8,25.9,"38,777","19,209","19,568",215.4,"13,735",2.82,"3,974","21,290","13,471",10.3,55,34.8,178,630,4.5,15.9,"1,581",156,"3,992","100,465",450,"2,491","50,912","2,149","14,572","1,516","7,620","11,600",7.31,36.75,55.94,"119,774","116,423","2,876",93.2,69.8,16.2,47.51,"41,122","18,695,206","17,034,707",0.49,37.5,9.2,"2,030,950","2,292,219",18,378,1,33,81.5,278,38.49,1,58,1,257,9,"1,366",4,747,44
神栖市,146.97,139.53,19.6,28.6,7.4,44.3,"95,422","49,463","45,959",649.3,"40,951",2.33,"12,524","59,923","22,650",13.2,63,23.8,757,877,8.1,9.4,896,183,"13,561","1,550,640",716,"6,414","266,704","4,683","50,523","2,554","16,965","24,784",5.76,38.29,55.94,"883,778","394,701","4,146",93.7,67.4,42.2,76.88,"95,088","47,893,940","44,320,243",1.39,35.6,18.7,"7,810,900","12,522,393",23,602,5,87,91.4,794,46.03,4,337,6,"1,007",14,"5,166",8,"2,485",219
行方市,222.48,131.01,34.4,6,19.4,40.1,"31,878","15,833","16,045",143.3,"11,442",2.79,"3,193","17,064","11,612",10,53.5,36.4,158,536,5,16.8,"2,378",89,"2,987","59,454",353,"1,983","43,206","1,656","11,596","4,361","5,398","9,305",22.88,28.32,48.81,"111,108","109,526","3,289",94,59.6,18.2,45.72,"39,040","17,388,839","16,716,261",0.44,44,11.8,"1,687,859","1,847,400",18,311,1,30,90.1,209,66.5,3,86,4,463,4,"1,448",3,750,59
鉾田市,207.6,151.6,49,9.3,22.8,18.9,"45,857","23,406","22,451",220.9,"18,578",2.47,"4,550","25,447","15,780",9.9,55.6,34.5,207,711,4.6,16,"2,529",65,"1,547","56,729",379,"2,571","65,145","1,846","12,186","7,949","5,342","11,605",31.93,21.46,46.61,"157,197","151,835","3,241",87.3,60.7,7.4,58.5,"55,631","22,323,839","20,947,762",0.46,41.6,18.3,"2,318,347","2,282,765",18,373,2,22,47,461,49.64,4,161,-,-,10,"2,005",5,"1,152",89
つくばみらい市,79.16,73.46,51.6,14.5,5.6,28.4,"51,155","25,735","25,420",646.2,"20,140",2.54,"7,899","29,575","13,433",15.5,58.1,26.4,425,463,8.4,9.2,"1,392",77,"4,353","324,165",255,"2,222","78,841","1,622","18,647","1,070","7,096","15,086",4.6,30.52,64.88,"249,447","170,344","3,362",96.9,90.4,71.8,74.12,"40,892","19,183,114","18,674,367",0.81,44.2,5.1,"3,979,647","3,442,069",18,354,-,15,29.6,145,53.09,4,671,4,396,11,"3,814",4,"1,238",85
小美玉市,144.74,118.18,46.8,12.2,18.4,22.6,"48,608","24,499","24,109",335.8,"18,381",2.64,"5,639","28,234","14,668",11.6,58.2,30.2,306,623,6.3,12.9,"1,737",123,"6,865","218,046",374,"3,360","120,431","1,981","21,562","2,989","7,580","14,781",11.79,29.9,58.31,"243,914","158,249","3,187",96.4,81.1,46.3,53.92,"55,335","26,036,726","25,094,548",0.62,42.2,23.5,"3,010,791","3,195,089",20,481,4,31,62.4,405,52.36,7,271,4,479,11,"2,382",4,"1,352",102
茨城町,121.58,94.84,48.6,10,20.3,21.1,"31,369","15,523","15,846",258,"12,008",2.61,"3,260","16,962","11,099",10.4,54.2,35.4,162,462,5.1,14.6,"1,642",58,"2,221","58,883",283,"3,031","315,158","1,385","12,994","2,498","3,918","9,880",15.33,24.04,60.63,"140,800","91,316","2,844",89.3,70.2,25,66.27,"35,144","12,765,802","12,198,762",0.59,47.1,10,"1,586,270","1,741,573",16,292,2,121,376.9,246,56.96,4,233,4,342,4,"1,382",2,782,74
大洗町,23.89,18.35,26.7,16.2,9.5,47.6,"15,739","7,783","7,956",658.8,"6,869",2.29,"1,535","8,724","5,358",9.8,55.9,34.3,57,246,3.7,16,163,45,"1,248","27,218",244,"1,131","21,466",952,"8,206",527,"2,203","5,610",6.32,26.41,67.27,"98,878","52,221","3,217",99.8,79.8,55.7,90.41,"15,211","8,644,742","8,202,325",0.72,42.4,13,"866,145","1,544,282",12,218,1,14,86.2,255,66.33,3,18,-,-,2,676,2,391,31
城里町,161.8,63.92,17.7,4.4,60.7,17.2,"17,965","8,790","9,175",111,"7,204",2.49,"1,559","9,525","6,872",8.7,53,38.3,59,318,3.2,17.3,"1,051",30,881,"27,166",152,818,"11,780",682,"4,463","1,170","2,581","6,118",11.86,26.15,61.99,"39,674","45,732","2,437",99,90.9,60.1,48.54,"20,854","11,040,219","9,471,883",0.37,40.3,11.9,"863,002","942,409",14,202,1,8,42.6,86,86.66,-,-,2,247,5,712,2,428,35
東海村,38,31.49,26,28.2,7.3,38.5,"37,685","19,031","18,654",991.7,"15,190",2.48,"5,302","22,269","9,600",14.3,59.9,25.8,292,303,7.8,8.1,399,39,"2,190","31,465",218,"2,012","52,498","1,324","17,164",531,"4,463","12,014",3.12,26.24,70.64,"386,847","159,378","4,237",99.7,92.1,89.8,80.65,"31,164","20,175,602","19,104,003",1.4,35,13.9,"2,774,499","7,529,698",18,385,2,41,109,186,41.19,5,468,3,281,6,"2,351",2,"1,117",68
大子町,325.76,66.44,10.2,2.1,45.2,42.5,"15,564","7,609","7,955",47.8,"6,403",2.43,"1,165","7,085","7,291",7.5,45.6,46.9,48,419,3,26.1,947,44,"1,108","19,356",281,"1,146","16,933",991,"6,163","1,383","2,714","4,582",15.94,31.27,52.79,"48,216","38,505","2,308",99.3,50.1,0,65.34,"17,049","10,401,187","9,614,474",0.33,46.3,12.6,"670,067","892,172",13,246,2,18,107.9,196,97.85,1,37,-,-,6,537,4,310,27
美浦村,66.61,29.36,20.1,8.1,7.4,64.4,"14,393","7,347","7,046",216.1,"5,843",2.46,"1,447","8,305","4,635",10.1,57.7,32.2,82,209,5.7,14.5,315,23,"1,398","47,535",85,511,"10,276",670,"6,878",396,"2,072","5,287",5.11,26.72,68.18,"65,473","49,940","3,346",95.6,89.5,51.7,65.11,"19,193","6,270,198","5,910,387",0.71,43.1,16.7,"1,027,524","1,255,854",12,156,1,8,53.6,100,31.9,2,118,-,-,3,609,1,355,19
阿見町,71.4,54.18,33.1,16.7,15.3,34.9,"48,059","23,888","24,171",673.1,"20,371",2.36,"6,007","28,293","13,454",12.6,59.2,28.2,294,514,6.2,10.9,507,80,"6,815","367,552",332,"2,814","58,751","1,789","18,935",883,"6,114","15,474",3.93,27.21,68.86,"276,694","153,072","3,218",86.1,94,70.1,62.05,"39,376","16,282,701","15,594,597",0.93,42.8,14.7,"3,248,120","3,598,638",18,309,2,148,311.1,433,35.18,3,526,1,100,7,"2,510",4,"1,276",109
河内町,44.3,44.3,64.5,7.8,0,27.7,"8,237","4,035","4,202",185.9,"2,974",2.77,595,"4,369","3,273",7.2,53,39.7,22,143,2.6,17,678,41,957,"16,308",64,243,"6,311",353,"3,001",629,"1,356","2,685",13.47,29.04,57.49,"23,978","24,086","2,788",93.9,70.5,39.1,61.59,"9,781","4,837,764","4,331,778",0.37,34.5,8.8,"416,479","409,788",12,117,-,-,-,58,87.72,-,-,1,87,-,-,-,-,16
八千代町,58.99,56.89,62.7,13,5.3,19,"20,835","10,891","9,944",353.2,"7,227",2.88,"2,296","12,055","6,392",11.1,58.1,30.8,120,256,5.9,12.5,"1,100",68,"2,385","95,893",181,914,"33,461","1,039","7,454","2,360","4,131","4,987",20.56,35.99,43.45,"93,044","72,695","3,389",97.9,66,17,71.8,"24,521","9,010,453","8,681,393",0.65,42.1,11.7,"1,292,613","1,309,675",14,186,1,6,28,62,63.69,3,381,1,167,5,996,2,545,30
五霞町,23.11,22.89,41.9,16.7,1,40.5,"8,141","4,135","4,006",352.3,"2,996",2.72,712,"4,537","2,814",8.8,56.3,34.9,28,114,3.4,13.9,527,56,"4,799","233,918",61,408,"34,235",509,"8,195",256,"1,769","2,416",5.76,39.83,54.4,"101,179","36,820","4,399",99.3,99.6,69.5,80.63,"9,067","4,632,886","4,188,711",0.85,40.9,5.4,"740,738","1,318,268",10,104,-,2,23.9,19,70.67,-,-,2,400,2,349,1,170,19
境町,46.59,44.29,49.7,17.4,5.5,27.5,"24,079","12,252","11,827",516.8,"8,926",2.7,"2,927","14,147","6,972",12.2,58.8,29,141,288,6,12.2,819,94,"3,063","90,368",306,"1,823","41,048","1,499","11,605","1,137","4,545","6,755",9.14,36.54,54.31,"104,179","76,815","3,161",97.1,74.9,51.1,63.52,"25,408","16,985,354","16,661,678",0.7,21.5,6.7,"1,441,672","1,740,046",12,232,1,76,312.7,155,43.33,2,85,3,384,5,"1,264",2,609,45
利根町,24.86,24.32,54.1,13.3,2.5,30.1,"15,128","7,421","7,707",608.5,"6,240",2.42,"1,099","6,733","6,825",7.5,45.9,46.6,36,231,2.4,15.2,369,13,344,"6,031",87,496,"6,730",431,"2,384",286,"1,556","4,737",4.35,23.65,72,"20,778","31,359","2,006",99.5,94.6,87.7,68.13,"12,209","5,686,666","5,452,237",0.43,47.3,7,"719,002","513,696",12,171,-,8,51.2,79,70.92,2,100,1,52,3,576,1,307,16
